FILENAME;PERIODO;CNPJ;NOME DA PESSOA JURÍDICA;NOME FANTASIA;SITUAÇÃO CADASTRAL;SITUAÇÃO DA ATIVIDADE;TIPO DE ESTABELECIMENTO;NATUREZA JURÍDICA;PORTE;ENDEREÇO COMPLETO RECEITA FEDERAL;UF;MUNICIPIO;DATA DE ABERTURA;CNAE(S) RELACIONADOS À ATIVIDADE;ENDEREÇO COMPLETO COMERCIAL;TELEFONE COMERCIAL;E-MAIL COMERCIAL;WEBSITE;NÚMERO DO CERTIFICADO;VALIDADE DO CERTIFICADO;NEGOCIO;ESPECIALIDADE;IDIOMAS;RAZÃO SOCIAL;NATUREZA JURIDICA;DATA INICIO OPERAÇÃO;SITUAÇÃO;TIPO ATIVIDADE;CEP;BAIRRO;LOGRADOURO;TELEFONE;FAX;E-MAIL2;E-MAIL3;SITE;CÓDIGO CERTIFICADO;CÓDIGO E DESCRIÇÃO CNAE;CAPACIDADE DE LUGARES;LINGUAS;DATA DE INICIO DA OPERAÇÃO;ATIVIDADE;COMPLEMENTO;EMAIL INSTITUCIONAL;EMAIL COMERCIAL;DATA DE GERAÇÃO DO CERTIFICADO;DATA DE VALIDADE DO CERTIFICADO;CÓDIGO DO CERTIFICADO;CNAE;TIPO DE ATIVIDADE;LÍNGUAS;UNNAMED: 22;UNNAMED: 23;UNNAMED: 24
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;02.308.948/0001-34;;PANELA MAGICA;;;;5611-2/01 - RESTAURANTES E SIMILARES;MICROEMPRESA;;GO;Goiânia;;;;;;;;;02.308.948/0001-34;Sociedade Empresária Limitada;;LANCHE E RESTAURANTE PANELA MAGICA LTDA;;;Em Operação;;74110-140;Setor Oeste;R 13;;;;;panelamagica@terra.com.br;;;;;08/07/1977;Restaurante, Cafeteria, Bar e Similares;QUADRA: G13;;;panelamagica@terra.com.br; - ;14/02/2020 11:27;14/02/2022 11:27;;Restaurante;Espanhol;Brasileira;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;03.038.290/0001-50;;#NOME?;;;;03.038.290/0001-50;MICROEMPRESA;;GO;Caldas Novas;;;;;;;;;19/02/202215:01;Restaurante;;PRISMA MOREIRA RESTAURANTES LTDA;;;Em Operação;;75690-000; - ;AV ORCALINO SANTOS;;;;;(64)3453-3775;;;;;26/01/1999;Restaurante, Cafeteria, Bar e Similares;QUADRA: 17;;;prismamoreira@gmail.com;prismamoreira@gmail.com; - ;19/02/2020 15:01;;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada; - ;Cozinha regional
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;04.846.017/0001-15;;Hotel Santos;;;;Similar;MICROEMPRESA;;MG;Gameleiras;;;;;;;;;5611-2/01-RESTAURANTESESIMILARES; - ;;GERALDO PEREIRA DOS SANTOS;;;Em Operação;;39505-000; - ;Rua;;;;;ramonmendes2009@hotmail.com;;;;;11/01/2002;Restaurante, Cafeteria, Bar e Similares; Joaquim Genro, 501;;; - ;20/03/2019 09:16;20/03/2021 09:16;04.846.017/0001-15;;Empresário (Individual);Brasileira|Cozinha regional;;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;07.847.125/0001-09;;LANCHONETE & CHURRASCARIA FRUTOS DA TERRA;;;;Restaurante;MICROEMPRESA;;MT;Ribeirão Cascalheira;;;;;;;;;5611-2/01-RESTAURANTESESIMILARES;Português;;E PEREIRA ROSA & CIA LTDA;;;Em Operação;;78675-000; - ;av;;;;;corgatecfiscal@hotmail.com;;;;;20/02/2006;Restaurante, Cafeteria, Bar e Similares; PADRE JOÃO BOSCO;;; - ;26/06/2019 15:10;26/06/2021 15:10;07.847.125/0001-09;;Sociedade Empresária Limitada;Brasileira;;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;08.032.334/0001-59;;PARRILLA RESTAURANTE;;;;5611-2/01 - RESTAURANTES E SIMILARES;EMPRESA DE PEQUENO PORTE;;GO;Goiânia;;;;;;;;;08.032.334/0001-59;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);;PARRILLA RESTAURANTE E BAR - EIRELI;;;Em Operação;;74223-050; - ;R T 36;;;;;ricardo@parrillarestaurante.com.br;;;;;30/05/2006;Restaurante, Cafeteria, Bar e Similares;QUADRA: 112-A;;;ricardo@parrillarestaurante.com.br; - ;21/02/2020 14:59;21/02/2022 14:59;;Restaurante; - ;Brasileira;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;09.191.005/0001-13;;CANTINHO DE GOIAS;;;;09.191.005/0001-13;MICROEMPRESA;;GO;Caldas Novas;;;;;;;;;18/02/202216:37;Restaurante;;REGINA CHINKO;;;Em Operação;;75690-000; - ;R ANTONIO COELHO DE GODOY;;;;;(64)3453-0549;;;;;13/11/2007;Restaurante, Cafeteria, Bar e Similares;QUADRA: 05;;;cantinhodegoias@hotmail.com;cantinhodegoias@hotmail.com; - ;18/02/2020 16:37;;5611-2/01 - RESTAURANTES E SIMILARES;Empresário (Individual);Espanhol;Brasileira
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;10.399.877/0001-50;;LANCHONETE & CHURRASCARIA ROCHA;;;;Restaurante;MICROEMPRESA;;MT;Ribeirão Cascalheira;;;;;;;;;5611-2/01-RESTAURANTESESIMILARES; - ;;A DA ROCHA;;;Em Operação;;78675-000; - ;av;;;;;rochachurrascaria@hotmail.com;;;;;07/10/2008;Restaurante, Cafeteria, Bar e Similares; PADRE JOÃO BOSCO;;; - ;26/06/2019 15:08;26/06/2021 15:08;10.399.877/0001-50;;Empresário (Individual);Brasileira;;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;10.638.400/0001-80;;fogao a lenha;;;;Restaurante;MICROEMPRESA;;MG;São José do Mantimento;;;;;;;;;5611-2/01-RESTAURANTESESIMILARES; - ;;ELISANGELA LOPES DE CASTRO;;;Em Operação;;36990-000; - ;argemiro teixera pinto;;;;;IPANEMA@ORTECONTE.COM.BR;;;;;12/02/2009;Restaurante, Cafeteria, Bar e Similares;n;;;glenda_filha@hotmail.com;08/05/2019 16:20;08/05/2021 16:20;10.638.400/0001-80;;Empresário Individual;Brasileira|Cozinha regional;;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;10.705.070/0001-07;;Restaurante Uai TchÊ;;;;Restaurante;MICROEMPRESA;;MG;Carrancas;;;;;;;;;5611-2/01-RESTAURANTESESIMILARES;Português;;MARIA DO CARMO DA SILVA CPF 038.865.456-28;;;Em Operação;;37245-000; - ;Rua Oito de dezembro 686;;;;;lucimarka@hotmail.com;;;;;16/03/2009;Restaurante, Cafeteria, Bar e Similares; Bairro: Além das Formas;;; - ;17/06/2020 12:52;17/06/2022 12:52;10.705.070/0001-07;;Empresário Individual;Cozinha regional;;
restaurantescafeteriasebares202004trimestrecadasturpj-2020-Q4.csv;2020-Q4;11.936.947/0001-25;;INDUSTRIALLY - ALIMENTAÇÃO EMPRESARIAL ESPECIALIZADA;;;;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;MICROEMPRESA;;GO;Catalão;;;;;;;;;11.936.947/0001-25;Sociedade Empresária Limitada;;INDUSTRIALLY ALIMENTACAO EMPRESARIAL ESPECIALIZADA LTDA;;;Em Operação;;75701-970;Setor Central;R 10;;;;;industrially@hotmail.com;;;;;30/04/2010;Restaurante, Cafeteria, Bar e Similares;QUADRA: 19;;;industrially@hotmail.com; - ;13/02/2020 10:08;13/02/2022 10:08;;Restaurante; - ;Brasileira;
