Razão Social;Nome Fantasia;CNPJ;Porte;Data de Inicio da Operação;Situação;Atividade;CEP;UF;Localidade;Bairro;Logradouro;Complemento;Telefone;Email Institucional;Email Comercial;Site;Data de Geração do Certificado;Data de Validade do Certificado;Código do Certificado;CNAE;Estrutura Básica;Tipo de Atividade;Natureza Jurídica;Línguas;Capacidade de Lugares
RESTAURANTE ZENERE LTDA;RESTAURANTE ZENERE LTDA - ME;00.058.733/0001-87;MICROEMPRESA;04/05/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;89580-000;SC;Fraiburgo; - ;Sem Logradouro; - ;(49)3246-4054;nonovito@hbinfo.com.br;nonovito@hbinfo.com.br; - ;09/11/2017 17:19:10;00.058.733/0001-87;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada; - ; - 
CARLUCIO VILELA SOARES;DOCE SABOR LANCHONETE E CONFEITARIA;00.067.976/0001-81;MICROEMPRESA;17/05/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;75800-012;GO;Jataí;Centro;Goiás; - ;(62)3631-6433;docesabor@gmail.com;docesabor@gmail.com; - ;17/05/2017 13:47:52;00.067.976/0001-81;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES; - ;Similar;Empresário (Individual); - ; - 
ROMA HOTEIS E REALIZACOES LTDA;ROMA  HOTEIS;00.071.556/0001-79;DEMAIS;20/05/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;75690-000;GO;Caldas Novas; - ;Av. Santo Amaro;N° 1.600;(64)3453-1553;adm@diroma.com.br;adm@diroma.com.br;WWW.DIROMA.COM.BR;10/07/2018 08:07:19;00.071.556/0001-79;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada; - ; - 
ROMA HOTEIS E REALIZACOES LTDA;DIROMA INTERNATIONAL RESORT;00.071.556/0002-50;DEMAIS;14/05/2001;Em Operação;Restaurante, Cafeteria, Bar e Similares;75690-000;GO;Caldas Novas; - ;Av. Santo Amaro;N° 1.800;(64)3456-1250;adm@diroma.com.br;adm@diroma.com.br;WWW.DIROMA.COM.BR;10/07/2018 09:21:53;00.071.556/0002-50;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada; - ; - 
ROMA HOTEIS E REALIZACOES LTDA;DIROMA RIO QUENTE;00.071.556/0003-30;DEMAIS;26/01/2004;Em Operação;Restaurante, Cafeteria, Bar e Similares;75695-000;GO;Rio Quente; - ;Sem Logradouro; - ;(64)3452-1610;RESERVAS@DIROMA.COM.BR;RESERVAS@DIROMA.COM.BR;WWW.DIROMA.COM.BR;15/02/2018 17:27:31;00.071.556/0003-30;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada; - ; - 
ROMA HOTEIS E REALIZACOES LTDA;VILLAS DIROMA;00.071.556/0004-11;DEMAIS;20/05/2005;Em Operação;Restaurante, Cafeteria, Bar e Similares;75690-000;GO;Caldas Novas; - ;Rua Santa Catarina com Rua São Cristóvão;S/Nº, Qd. 1/2 ;(64)3455-9797;adm@diroma.com.br;adm@diroma.com.br;WWW.DIROMA.COM.BR;19/07/2018 08:28:42;00.071.556/0004-11;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada; - ; - 
ROMA HOTEIS E REALIZACOES LTDA;ROMA HOTEIS E REALIZAÇÕES - FILIAL FIORI;00.071.556/0005-00;DEMAIS;08/08/2007;Em Operação;Restaurante, Cafeteria, Bar e Similares;75690-000;GO;Caldas Novas; - ;Av. Marina Mofatto;S/Nº, Mód. 02 ;(64)3455-5051;adm@diroma.com.br;adm@diroma.com.br;WWW.DIROMA.COM.BR;10/07/2018 09:26:11;00.071.556/0005-00;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada;| Inglês; - 
ROMA HOTEIS E REALIZACOES LTDA;ROMA HOTEIS E REALIZACOES LTDA - EXCLUSIVE;00.071.556/0006-83;DEMAIS;18/03/2011;Em Operação;Restaurante, Cafeteria, Bar e Similares;75690-000;GO;Caldas Novas; - ;Rua Santa Catarina com Rua São Bartolomeu;Qd. 08 SN°;(64)3454-9200;adm@diroma.com.br;adm@diroma.com.br;www.diroma.com.br;21/06/2018 09:17:11;00.071.556/0006-83;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada;| Inglês; - 
ROMA HOTEIS E REALIZACOES LTDA;JARDINS ACQUA PARK;00.071.556/0007-64;DEMAIS;16/07/2013;Em Operação;Restaurante, Cafeteria, Bar e Similares;75690-000;GO;Caldas Novas; - ;Via Circular Francisca Lima Bezerra;S/Nº, Mód. 11 - Jardins Di Roma;(64)3456-1800;adm@diroma.com.br;adm@diroma.com.br;www.diroma.com.br;10/07/2018 09:03:08;00.071.556/0007-64;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Sociedade Empresária Limitada; - ; - 
DEBORAH PRADO MARCONDES DOITSCHINOFF - EPP;COZINHA ABERTA;00.114.339/0001-19;EMPRESA DE PEQUENO PORTE;14/07/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;46960-000;BA;Lençóis; - ;Sem Logradouro; - ;(75)3334-1321;cozinhaaberta@hotmail.com;cozinhaaberta@hotmail.com; - ;14/11/2017 16:33:16;00.114.339/0001-19;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Empresário (Individual);| Inglês; - 
SEBASTIAO GONCALVES DA SILVA O GOIANO;BAR DO TIAO;00.151.795/0001-39;DEMAIS;11/01/1983;Em Operação;Restaurante, Cafeteria, Bar e Similares;76510-000;GO;Crixás; - ;Sem Logradouro; - ;(62)3365-1793;metalcontabil@brturbo.com.br;metalcontabil@brturbo.com.br; - ;13/06/2017 13:25:18;00.151.795/0001-39;5611-2/02 - BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS; - ;Bar;Empresário (Individual); - ; - 
ELIENE MENDES DOS SANTOS;HOTEL E RESTAURANTE CANABRAVA;00.182.171/0001-89;MICROEMPRESA;02/09/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;44950-000;BA;Uibaí; - ;Sem Logradouro; - ;(74)3649-1677;duda_misuru@hotmail.com;duda_misuru@hotmail.com; - ;25/11/2016 12:24:04;00.182.171/0001-89;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Empresário (Individual); - ; - 
RESTAURANTE E PIZZARIA MAMMA TUTTI EIRELI;FAMILIA MUCCINI;00.202.998/0001-07;EMPRESA DE PEQUENO PORTE;21/09/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;58039-110;PB;João Pessoa;Tambaú;Nossa Senhora dos Navegantes; - ;(83)3226-8588;MARCOS@SAPOREONLINE.COM;MARCOS@SAPOREONLINE.COM;WWW.FAMILIAMUCCINI.COM;27/12/2016 15:47:54;00.202.998/0001-07;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);| Alemão | Espanhol | Inglês; - 
J I F G FILHO;POUSADA DAS CANOAS;00.203.502/0002-09;MICROEMPRESA;11/04/2011;Em Operação;Restaurante, Cafeteria, Bar e Similares;62580-000;CE;Acaraú; - ;rua beira mar n° 100;curral velho- praia de arpoeiras;(88)9962-2442;ivnasilvaf@hotmail.com;joaoivofilho@hotmail.com; - ;23/04/2018 16:35:31;00.203.502/0002-09;5611-2/01 - RESTAURANTES E SIMILARES; - ;Restaurante;Empresário Individual;| Inglês; - 
J TARCISIO CIA LTDA;ARCO CENTER PREÇO BAIXO TODO DIA;00.221.551/0001-85;DEMAIS;04/10/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;55515-000;PE;Amaraji; - ;Sem Logradouro; - ;(81)3553-1188;jtarcisiosilva@hotmail.com;jtarcisiosilva@hotmail.com; - ;17/10/2016 11:40:53;00.221.551/0001-85;5611-2/01 - RESTAURANTES E SIMILARES; - ;Similar;Sociedade Empresária Limitada; - ; - 
