Razão Social;Nome Fantasia;CNPJ;Porte;Data de Inicio da Operação;Situação;Atividade;CEP;UF;Localidade;Bairro;Logradouro;Complemento;Telefone;Email Institucional;Email Comercial;Site;Data de Geração do Certificado;Data de Validade do Certificado;Código do Certificado;CNAE;Tipo de Atividade;Natureza Jurídica;Línguas;Especialidades
RESTAURANTE ZENERE LTDA;RESTAURANTE ZENERE LTDA - ME;00.058.733/0001-87;MICROEMPRESA;04/05/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;89580-000;SC;Fraiburgo; - ;Sem Logradouro; - ;(49)3246-4054;nonovito@hbinfo.com.br;nonovito@hbinfo.com.br; - ;09/11/2017 17:19:10;09/11/2019 00:00:00;00.058.733/0001-87;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada; - ;Brasileira|Italiana
ROMA HOTEIS E REALIZACOES LTDA;ROMA  HOTEIS;00.071.556/0001-79;DEMAIS;20/05/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;75690-000;GO;Caldas Novas; - ;Av. Santo Amaro;N° 1.600;(64)3453-1553;adm@diroma.com.br;adm@diroma.com.br;WWW.DIROMA.COM.BR;10/07/2018 08:07:19;10/07/2020 08:07:19;00.071.556/0001-79;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada; - ;Brasileira
ROMA HOTEIS E REALIZACOES LTDA;DIROMA INTERNATIONAL RESORT;00.071.556/0002-50;DEMAIS;14/05/2001;Em Operação;Restaurante, Cafeteria, Bar e Similares;75690-000;GO;Caldas Novas; - ;Av. Santo Amaro;N° 1.800;(64)3456-1250;adm@diroma.com.br;adm@diroma.com.br;WWW.DIROMA.COM.BR;10/07/2018 09:21:53;10/07/2020 09:21:53;00.071.556/0002-50;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada; - ;Brasileira
ROMA HOTEIS E REALIZACOES LTDA;VILLAS DIROMA;00.071.556/0004-11;DEMAIS;20/05/2005;Em Operação;Restaurante, Cafeteria, Bar e Similares;75690-000;GO;Caldas Novas; - ;Rua Santa Catarina com Rua São Cristóvão;S/Nº, Qd. 1/2 ;(64)3455-9797;adm@diroma.com.br;adm@diroma.com.br;WWW.DIROMA.COM.BR;19/07/2018 08:28:42;19/07/2020 08:28:42;00.071.556/0004-11;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada; - ;Brasileira
ROMA HOTEIS E REALIZACOES LTDA;ROMA HOTEIS E REALIZAÇÕES - FILIAL FIORI;00.071.556/0005-00;DEMAIS;08/08/2007;Em Operação;Restaurante, Cafeteria, Bar e Similares;75690-000;GO;Caldas Novas; - ;Av. Marina Mofatto;S/Nº, Mód. 02 ;(64)3455-5051;adm@diroma.com.br;adm@diroma.com.br;WWW.DIROMA.COM.BR;10/07/2018 09:26:11;10/07/2020 09:26:11;00.071.556/0005-00;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada;Inglês;Brasileira
ROMA HOTEIS E REALIZACOES LTDA;ROMA HOTEIS E REALIZACOES LTDA - EXCLUSIVE;00.071.556/0006-83;DEMAIS;18/03/2011;Em Operação;Restaurante, Cafeteria, Bar e Similares;75690-000;GO;Caldas Novas; - ;Rua Santa Catarina com Rua São Bartolomeu;Qd. 08 SN°;(64)3454-9200;adm@diroma.com.br;adm@diroma.com.br;www.diroma.com.br;21/06/2018 09:17:11;21/06/2020 09:17:11;00.071.556/0006-83;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada;Inglês;Brasileira
ROMA HOTEIS E REALIZACOES LTDA;JARDINS ACQUA PARK;00.071.556/0007-64;DEMAIS;16/07/2013;Em Operação;Restaurante, Cafeteria, Bar e Similares;75690-000;GO;Caldas Novas; - ;Via Circular Francisca Lima Bezerra;S/Nº, Mód. 11 - Jardins Di Roma;(64)3456-1800;adm@diroma.com.br;adm@diroma.com.br;www.diroma.com.br;10/07/2018 09:03:08;10/07/2020 09:03:08;00.071.556/0007-64;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada; - ;Brasileira
AGUAS TERMAIS SANTA ROSA LTDA;Balneário Paraíso das Águas;00.076.945/0001-97;MICROEMPRESA;27/05/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;88763-000;SC;Santa Rosa de Lima; - ;Estrada Geral do Rio Bravo;;(48)9992-7549;contato@balnearioparaisodasaguas.com.br;contato@balnearioparaisodasaguas.com.br;www.balnearioparaisodasaguas.com.br;01/03/2019 08:17:09;01/03/2021 08:17:09;00.076.945/0001-97;5611-2/01 - RESTAURANTES E SIMILARES;Restaurante;Sociedade Empresária Limitada; - ;Cozinha regional|Alemã
DOLGENER ALIMENTOS LTDA;SUICA PADARIA E CONFEITARIA;00.090.226/0001-20;DEMAIS;14/06/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;95900-054;RS;Lajeado;Centro;Benjamin Constant;- de 1181 a 1689 - lado ímpar;(51)3710-1866;UMBERTO@MALCONCONTABILIDADE.COM.BR;UMBERTO@MALCONCONTABILIDADE.COM.BR; - ;03/06/2019 15:02:27;03/06/2021 15:02:27;00.090.226/0001-20;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;Cafeteria;Sociedade Empresária Limitada; - ;Alemã
CANTINA DAS NEVES LTDA;Cantina Tonet;00.092.042/0001-08;EMPRESA DE PEQUENO PORTE;16/06/1994;Em Operação;Restaurante, Cafeteria, Bar e Similares;95044-030;RS;Caxias do Sul;Nossa Senhora da Saúde;Vereador Vicente Menezes; - ;(54)2992-3551;CANTINATONET@CANTINATONET.COM.BR;CANTINATONET@CANTINATONET.COM.BR; - ;13/05/2019 16:33:23;13/05/2021 16:33:23;00.092.042/0001-08;5611-2/01 - RESTAURANTES E SIMILARES;Similar;Sociedade Empresária Limitada;Espanhol|Inglês|Italiano;Italiana
