CNPJ,ESPECIALIDADE
5858000149,Italiana | Árabe
6453000125,Brasileira
12093000174,Brasileira
21776000198,Italiana | Árabe
56231000117,Francesa
58152000307,Brasileira | Cozinha regional
58351000153,Cozinha regional
58733000187,Brasileira | Italiana
59652000100,Americana
67976000181,Brasileira
71556000179,Brasileira
71556000250,Brasileira
71556000411,Brasileira
71556000500,Brasileira
71556000683,Brasileira
71556000764,Brasileira
76945000197,Alemã | Cozinha regional
80447000118,Brasileira | Tailandesa
82535000159,Francesa
87029000152,Brasileira
90638000160,Brasileira | Cozinha regional
90638000241,Brasileira | Cozinha regional
94066000198,Cozinha regional | Francesa | Italiana
100453000190,Brasileira
102390000100,Brasileira
109576000191,Brasileira
110791000102,Brasileira | Árabe
112535000154,Brasileira
118884000183,Alemã | Brasileira | Cozinha regional
120318000106,Brasileira
128313000120,Brasileira | Cozinha regional
131261000140,Brasileira | Cozinha regional
132720000100,Brasileira
152802000117,Brasileira | Cozinha regional | Árabe
153470000195,Cozinha regional | Italiana
154642000145,Italiana
154642000226,Americana
155300000140,Brasileira | Cozinha regional | Italiana
157596000138,Cozinha regional
164985000190,Brasileira
164985000433,Brasileira
164985000514,Brasileira
181502000166,Brasileira
188048000175,Brasileira | Cozinha regional
190814000136,Cozinha regional
193851000521,Alemã | Cozinha regional
202998000107,Brasileira | Italiana
208014000103,Americana | Brasileira
214880000107,Brasileira | Cozinha regional
216364000103,Japonesa
217246000110,Brasileira | Portuguesa
223693000181,Brasileira
234519000134,Italiana | Árabe
243756000161,Brasileira
244073000129,Alemã
245481000103,Brasileira
246103000136,Brasileira
246103000489,Brasileira
250909000106,Brasileira
250909000289,Brasileira
250909000360,Brasileira
256719000198,Cozinha regional
259728000132,Cozinha regional
262256000177,Brasileira | Italiana
263654000108,Cozinha regional
268040000119,Brasileira
268445000157,Árabe
277477000119,Italiana | Árabe
282468000116,Brasileira | Cozinha regional
285353000185,Brasileira
291410000139,Brasileira
294862000174,Italiana | Árabe
305472000152,Brasileira
305569000165,Brasileira | Italiana
317120000117,Brasileira
320017000398,Brasileira | Cozinha regional | Árabe
320017000479,Brasileira | Cozinha regional | Árabe
320017000630,Brasileira | Cozinha regional | Árabe
320017001106,Brasileira | Cozinha regional | Árabe
320017001289,Brasileira | Cozinha regional | Árabe
324409000163,Americana | Brasileira
331128000138,Italiana | Árabe
338871000110,Asiática | Chinesa
339456000180,Brasileira | Tailandesa
347918000101,Brasileira
358417000120,Brasileira
361359000194,Brasileira
365983000160,Cozinha regional
367548000174,Brasileira
367548000760,Brasileira
367548000840,Brasileira
371296000157,Brasileira | Cozinha regional
374684000191,Cozinha regional | Italiana
376037000119,Brasileira | Francesa | Italiana
385855000188,Cozinha regional
392392000181,Americana
392392000262,Americana
392392000424,Americana
392392000696,Americana
392392000777,Americana
392392000858,Americana
392392000939,Americana
392392001072,Americana
404833000118,Brasileira | Cozinha regional
419148000165,Americana
439276000170,Alemã | Brasileira
448667000151,Brasileira | Cozinha regional | Japonesa
452590000193,Brasileira | Cozinha regional | Italiana
453469000186,Americana
453469000267,Americana
453469000348,Americana
453469000500,Americana
453469000690,Americana
453469001077,Americana
453469001158,Americana
453469001310,Americana
453469001409,Americana
453469001581,Americana
453469001662,Americana
453469001743,Americana
461507000142,Italiana | Árabe
465544000129,Brasileira | Portuguesa
469466000130,Cozinha regional
471860000103,Brasileira | Japonesa
474692000100,Brasileira
478186000199,Brasileira
478277000124,Brasileira | Japonesa
478379000140,Brasileira
481270000161,Francesa
487794000160,Brasileira
487850000166,Brasileira | Italiana | Portuguesa
488491000161,Cozinha regional
492540000130,Italiana
493776000190,Portuguesa
495189000130,Brasileira
512196000101,Brasileira
515954000137,Cozinha regional | Italiana
521673000197,Brasileira
531026000166,Brasileira | Cozinha regional
531370000155,Brasileira
533923000109,Brasileira
537308000170,Brasileira
543350000102,Brasileira | Cozinha regional | Italiana
543725000126,Brasileira
549973000184,Americana
550709000160,Italiana
553589000155,Alemã
557897000159,Brasileira
559243000164,Brasileira
566560000108,Brasileira
571393000193,Brasileira | Cozinha regional
581042000163,Brasileira | Cozinha regional
585801000166,Italiana | Árabe
588875000156,Italiana | Árabe
591911000130,Brasileira | Portuguesa
604538000105,Brasileira
604548000140,Italiana
610350000765,Brasileira
610350001494,Brasileira
612961000157,Brasileira | Cozinha regional
615661000121,Brasileira
616101000191,Cozinha regional
618304000117,Italiana | Árabe
629777000110,Brasileira | Cozinha regional
630068000154,Italiana | Árabe
632312000118,Cozinha regional | Francesa | Italiana
659006000175,Chinesa | Japonesa | Tailandesa
661844000183,Italiana | Árabe
678076000170,Cozinha regional | Italiana
683748000136,Brasileira
683748000640,Brasileira
683748000993,Brasileira
683748001299,Brasileira
683748002007,Brasileira
683748002341,Americana | Brasileira
689454000111,Brasileira
689909000107,Brasileira
689956000142,Brasileira | Cozinha regional
696194000101,Brasileira
701583000188,Brasileira
702973000172,Brasileira | Cozinha regional
703651000148,Brasileira
703791000116,Brasileira | Japonesa
704649000193,Brasileira
706632000175,Chinesa
706969000182,Brasileira
707835000186,Brasileira
707842000188,Brasileira | Cozinha regional | Portuguesa
708796000131,Brasileira
714713000117,Cozinha regional
716835000142,Americana
716835000495,Americana
716835000576,Americana
716835000657,Americana
716835000738,Americana
716969000163,Cozinha regional | Árabe
717957000153,Brasileira | Portuguesa
723033000160,Cozinha regional | Italiana
729956000129,Brasileira
730715000108,Brasileira | Italiana
739222000120,Brasileira
740356000161,Brasileira
741382000104,Brasileira | Cozinha regional
743990000158,Brasileira
743990000409,Brasileira
750572000198,Brasileira
750572000279,Brasileira
750572000350,Brasileira
751262000198,Brasileira
752517000137,Brasileira | Cozinha regional
752534000174,Brasileira | Cozinha regional | Italiana
754980000118,Cozinha regional
755072000149,Brasileira
755225000158,Brasileira
759622000106,Cozinha regional
762256000136,Brasileira
772440000167,Brasileira
772527000134,Italiana
772527000215,Italiana
772527000487,Italiana
772527000568,Italiana
772527000800,Italiana
772527000991,Italiana
772527001025,Italiana
772527001106,Italiana
778869000161,Brasileira
779243000170,Brasileira
782468000185,Brasileira
783424000170,Brasileira | Italiana
783440000162,Alemã
787467000123,Brasileira
790482000120,Italiana | Árabe
791246000129,Brasileira
799678000186,Brasileira | Cozinha regional
802086000176,Brasileira | Cozinha regional
806701000112,Brasileira
811249000187,Brasileira | Cozinha regional | Italiana
813997000107,Brasileira
815486000116,Italiana | Árabe
821105000101,Brasileira
827430000181,Brasileira | Cozinha regional
830164000146,Cozinha regional
831448000157,Brasileira
835900000159,Cozinha regional
840073000191,Japonesa
846742000132,Cozinha regional | Portuguesa
847179000117,Brasileira | Cozinha regional
849393000102,Cozinha regional
855741000154,Brasileira
860723000160,Cozinha regional
860951000130,Brasileira
861041000172,Brasileira
