CNPJ,ESTABELECIMENTO
5858000149,Restaurante
6453000125,Restaurante
12093000174,Restaurante
21776000198,Restaurante
56231000117,Restaurante
58152000307,Restaurante
58351000153,Restaurante
58733000187,Restaurante
59652000100,Cafeteria
67976000181,Similar
71556000179,Restaurante
71556000250,Restaurante
71556000411,Restaurante
71556000500,Restaurante
71556000683,Restaurante
71556000764,Restaurante
76945000197,Restaurante
80447000118,Restaurante
82535000159,Restaurante
87029000152,Cafeteria
90638000160,Restaurante
90638000241,Restaurante
94066000198,Restaurante
100453000190,Bar
102390000100,Restaurante
109576000191,Similar
110791000102,Restaurante
112535000154,Restaurante
118884000183,Restaurante
120318000106,Restaurante
128313000120,Restaurante
131261000140,Bar
132720000100,Restaurante
152802000117,Restaurante
153470000195,Restaurante
154642000145,Similar
154642000226,Similar
155300000140,Restaurante
157596000138,Restaurante
164985000190,Restaurante
164985000433,Restaurante
164985000514,Restaurante
181502000166,Restaurante
188048000175,Restaurante
190814000136,Restaurante
193851000521,Bar
202998000107,Restaurante
208014000103,Restaurante
214880000107,Restaurante
216364000103,Restaurante
217246000110,Restaurante
223693000181,Restaurante
234519000134,Restaurante
243756000161,Cafeteria
244073000129,Cafeteria
245481000103,Restaurante
246103000136,Restaurante
246103000489,Restaurante
250909000106,Restaurante
250909000289,Restaurante
250909000360,Restaurante
256719000198,Restaurante
259728000132,Restaurante
262256000177,Similar
263654000108,Restaurante
268040000119,Restaurante
268445000157,Restaurante
277477000119,Restaurante
282468000116,Restaurante
285353000185,Restaurante
291410000139,Restaurante
294862000174,Restaurante
305472000152,Similar
305569000165,Restaurante
317120000117,Restaurante
320017000398,Restaurante
320017000479,Restaurante
320017000630,Restaurante
320017001106,Restaurante
320017001289,Restaurante
324409000163,Restaurante
331128000138,Restaurante
338871000110,Restaurante
339456000180,Restaurante
347918000101,Restaurante
358417000120,Similar
361359000194,Restaurante
365983000160,Bar
367548000174,Restaurante
367548000760,Restaurante
367548000840,Restaurante
371296000157,Restaurante
374684000191,Restaurante
376037000119,Restaurante
385855000188,Restaurante
392392000181,Restaurante
392392000262,Similar
392392000424,Similar
392392000696,Restaurante
392392000777,Restaurante
392392000858,Similar
392392000939,Restaurante
392392001072,Restaurante
404833000118,Restaurante
419148000165,Restaurante
439276000170,Restaurante
448667000151,Restaurante
452590000193,Restaurante
453469000186,Restaurante
453469000267,Similar
453469000348,Restaurante
453469000500,Restaurante
453469000690,Restaurante
453469001077,Restaurante
453469001158,Restaurante
453469001310,Similar
453469001409,Restaurante
453469001581,Restaurante
453469001662,Restaurante
453469001743,Restaurante
461507000142,Restaurante
465544000129,Restaurante
469466000130,Restaurante
471860000103,Restaurante
474692000100,Similar
478186000199,Similar
478277000124,Restaurante
478379000140,Restaurante
481270000161,Restaurante
487794000160,Bar
487850000166,Cafeteria
488491000161,Restaurante
492540000130,Restaurante
493776000190,Cafeteria
495189000130,Restaurante
512196000101,Restaurante
515954000137,Restaurante
521673000197,Restaurante
531026000166,Restaurante
531370000155,Restaurante
533923000109,Bar
537308000170,Restaurante
543350000102,Restaurante
543725000126,Restaurante
549973000184,Restaurante
550709000160,Restaurante
553589000155,Cafeteria
557897000159,Similar
559243000164,Restaurante
566560000108,Similar
571393000193,Restaurante
581042000163,Restaurante
585801000166,Restaurante
588875000156,Restaurante
591911000130,Restaurante
604538000105,Restaurante
604548000140,Restaurante
610350000765,Similar
610350001494,Similar
612961000157,Restaurante
615661000121,Bar
616101000191,Restaurante
618304000117,Restaurante
629777000110,Restaurante
630068000154,Restaurante
632312000118,Restaurante
659006000175,Restaurante
661844000183,Restaurante
678076000170,Restaurante
683748000136,Restaurante
683748000640,Restaurante
683748000993,Restaurante
683748001299,Restaurante
683748002007,Restaurante
683748002341,Restaurante
689454000111,Restaurante
689909000107,Restaurante
689956000142,Similar
696194000101,Similar
701583000188,Restaurante
702973000172,Restaurante
703651000148,Restaurante
703791000116,Restaurante
704649000193,Similar
706632000175,Restaurante
706969000182,Restaurante
707835000186,Similar
707842000188,Restaurante
708796000131,Cafeteria
714713000117,Restaurante
716835000142,Restaurante
716835000495,Restaurante
716835000576,Restaurante
716835000657,Restaurante
716835000738,Restaurante
716969000163,Restaurante
717957000153,Cafeteria
723033000160,Restaurante
729956000129,Bar
730715000108,Restaurante
739222000120,Similar
740356000161,Restaurante
741382000104,Restaurante
743990000158,Restaurante
743990000409,Restaurante
750572000198,Restaurante
750572000279,Restaurante
750572000350,Restaurante
751262000198,Restaurante
752517000137,Restaurante
752534000174,Restaurante
754980000118,Similar
755072000149,Restaurante
755225000158,Restaurante
759622000106,Similar
762256000136,Similar
772440000167,Restaurante
772527000134,Restaurante
772527000215,Restaurante
772527000487,Restaurante
772527000568,Restaurante
772527000800,Restaurante
772527000991,Restaurante
772527001025,Restaurante
772527001106,Restaurante
778869000161,Similar
779243000170,Restaurante
782468000185,Restaurante
783424000170,Restaurante
783440000162,Restaurante
787467000123,Bar
790482000120,Restaurante
791246000129,Restaurante
799678000186,Bar
802086000176,Restaurante
806701000112,Bar
811249000187,Restaurante
813997000107,Similar
815486000116,Restaurante
821105000101,Restaurante
827430000181,Restaurante
830164000146,Restaurante
831448000157,Restaurante
835900000159,Restaurante
840073000191,Restaurante
846742000132,Restaurante
847179000117,Restaurante
849393000102,Restaurante
855741000154,Restaurante
860723000160,Restaurante
860951000130,Restaurante
861041000172,Restaurante
867203000180,Restaurante
867999000170,Similar
873989000148,Restaurante
874830000148,Restaurante
883975000105,Restaurante
883975000296,Similar
885876000162,Bar
889782000161,Cafeteria
889858000159,Restaurante
893166000184,Restaurante
898335000179,Restaurante
899490000100,Restaurante
899494000198,Restaurante
900578000102,Similar
902733000111,Restaurante
906825000170,Cafeteria
912112000119,Restaurante
912929000197,Restaurante
920509000152,Bar
932072000177,Bar
934922000176,Restaurante
936254000116,Restaurante
937804000111,Restaurante
938877000128,Similar
939190000107,Restaurante
941379000134,Restaurante
942272000100,Restaurante
942689000173,Bar
943010000160,Restaurante
954266000173,Restaurante
958664000168,Restaurante
961770000109,Similar
966053000161,Restaurante
966157000176,Restaurante
966446000175,Restaurante
967596000101,Restaurante
970717000166,Bar
972919000147,Restaurante
975830000134,Restaurante
987902000163,Restaurante
988496000153,Restaurante
989563000154,Restaurante
990327000158,Cafeteria
992122000101,Restaurante
993533000111,Restaurante
997916000168,Restaurante
998496000134,Similar
1000181000119,Similar
1002248000154,Restaurante
1007816000100,Restaurante
1009348000102,Restaurante
1014573000137,Restaurante
1019828000154,Restaurante
1020616000197,Restaurante
1022978000117,Restaurante
1031452000101,Restaurante
1032295000140,Restaurante
1033670000177,Restaurante
1034591000180,Bar
1035844000130,Restaurante
1036337000111,Restaurante
1038133000110,Restaurante
1039865000205,Restaurante
1039865000639,Similar
1040391000130,Restaurante
1043114000181,Restaurante
1043159000156,Similar
1047648000186,Restaurante
1047793000167,Restaurante
1052517000197,Restaurante
1061991000185,Restaurante
1062891000173,Similar
1065350000107,Restaurante
1074302000177,Restaurante
1075567000190,Similar
1077953000110,Restaurante
1080519000190,Restaurante
1081429000113,Restaurante
1082080000134,Restaurante
1083422000130,Restaurante
1084728000101,Restaurante
1085428000147,Similar
1093811000147,Restaurante
1095224000197,Restaurante
1095461000158,Restaurante
1097800000135,Restaurante
1101102000166,Restaurante
1104895000177,Restaurante
1106583000100,Restaurante
1109532000124,Restaurante
1114627000136,Similar
1116583000183,Cafeteria
1116583000507,Cafeteria
1116583000850,Cafeteria
1117697000148,Restaurante
1130168000265,Restaurante
1130243000107,Restaurante
1152509000112,Bar
1157147000152,Restaurante
1159209000165,Restaurante
1166507000182,Restaurante
1167296000100,Restaurante
1168151000116,Restaurante
1171696000181,Restaurante
1171898000123,Similar
1173871000170,Restaurante
1174574000149,Restaurante
1182204000153,Restaurante
1182300000100,Restaurante
1185590000137,Restaurante
1185595000240,Similar
1195650000100,Restaurante
1201906000137,Cafeteria
1204382000138,Restaurante
1206841000112,Restaurante
1207148000164,Restaurante
1212239000198,Restaurante
1212767000147,Restaurante
1226112000128,Restaurante
1234635000116,Bar
1252578000106,Bar
1253502000197,Restaurante
1257318000115,Restaurante
1257540000118,Restaurante
1261392000105,Restaurante
1271789000188,Restaurante
1274475000139,Restaurante
1277666000154,Cafeteria
1282978000156,Restaurante
1285305000150,Restaurante
1286477000148,Bar
1290917000130,Restaurante
1293509000132,Restaurante
1298710000102,Restaurante
1306134000106,Similar
1308349000158,Restaurante
1311882000179,Cafeteria
1312996000133,Restaurante
1314630000101,Restaurante
1316609000137,Restaurante
1323420000171,Restaurante
1323899000146,Restaurante
1325136000134,Restaurante
1330829000115,Restaurante
1336495000197,Bar
1344271000127,Restaurante
1346360000102,Restaurante
1349186000151,Similar
1349609000133,Restaurante
1353169000198,Restaurante
1354466000158,Restaurante
1358634000183,Restaurante
1358634000264,Restaurante
1358634000345,Restaurante
1358634000426,Restaurante
1358637000117,Restaurante
1367632000150,Restaurante
1370249000151,Restaurante
1373098000195,Restaurante
1383061000148,Cafeteria
1384145000104,Restaurante
1389023000100,Restaurante
1390674000102,Similar
1391437000166,Restaurante
1397851000182,Restaurante
1397851000263,Restaurante
1397851000425,Restaurante
1397851000506,Similar
1397851000778,Restaurante
1405124000110,Similar
1405279000156,Restaurante
1408982000118,Restaurante
1409908000116,Restaurante
1418153000116,Restaurante
1421473000125,Restaurante
1422664000101,Restaurante
1422664000292,Restaurante
1422664000373,Restaurante
1422664000454,Restaurante
1422664000705,Restaurante
1422664000888,Restaurante
1422664000969,Restaurante
1422664001000,Restaurante
1422664001183,Restaurante
1422664001264,Restaurante
1422664001426,Restaurante
1422664001507,Restaurante
1422664001698,Restaurante
1422664001779,Restaurante
1422664001850,Restaurante
1422664001930,Restaurante
1422664002074,Restaurante
1422664002155,Restaurante
1422664002236,Restaurante
1422664002317,Restaurante
1427909000193,Restaurante
1434608000197,Restaurante
1436334000175,Restaurante
1437777000180,Restaurante
1440952000199,Restaurante
1441296000149,Restaurante
1447320000157,Restaurante
1448939000186,Similar
1460150000140,Restaurante
1467439000191,Restaurante
1467439000353,Restaurante
1472212000134,Restaurante
1473851000114,Restaurante
1477171000179,Restaurante
1477466000145,Restaurante
1477466000307,Restaurante
1477466000498,Restaurante
1477466000579,Restaurante
1477466000650,Restaurante
1477466001117,Restaurante
1477466001206,Restaurante
1477466001389,Restaurante
1477466001460,Restaurante
1477466001540,Restaurante
1484830000102,Restaurante
1491039000111,Similar
1495477000158,Restaurante
1506558000106,Similar
1506917000125,Restaurante
1511761000170,Restaurante
1513851000109,Restaurante
1523486000105,Restaurante
1523808000116,Restaurante
1524963000157,Restaurante
1524963000408,Restaurante
1524963000580,Restaurante
1524963000661,Restaurante
1524963000904,Restaurante
1524963001048,Restaurante
1525247000194,Similar
1525323000161,Restaurante
1525323000242,Restaurante
1525323000323,Restaurante
1525323000404,Similar
1525323000595,Similar
1525323000757,Similar
1525323001052,Similar
1525323001303,Restaurante
1525323001486,Restaurante
1525323001567,Similar
1525323001648,Restaurante
1525323001729,Similar
1525323002024,Similar
1525323002296,Similar
1525323002377,Similar
1525323002539,Restaurante
1525323002610,Similar
1525323002709,Similar
1525323002881,Similar
1525323002962,Similar
1525323003004,Restaurante
1525323003187,Similar
1525323003268,Similar
1525323003349,Restaurante
1525323003420,Similar
1525323003500,Similar
1525323003691,Similar
1525323003772,Restaurante
1525323003853,Restaurante
1525323004078,Similar
1525323004159,Similar
1525323004230,Restaurante
1525323004310,Similar
1525323004400,Similar
1525323004582,Similar
1525323004663,Similar
1525323004744,Restaurante
1525323004906,Similar
1525323005040,Similar
1525323005120,Restaurante
1540975000175,Similar
1546949000154,Restaurante
1549561000107,Restaurante
1553343000146,Restaurante
1561171000152,Restaurante
1566318000105,Similar
1571127000123,Restaurante
1572652000163,Similar
1572830000156,Restaurante
1577773000106,Similar
1582206000130,Similar
1588954000120,Restaurante
1593471000113,Restaurante
1594132000151,Restaurante
1600502000116,Restaurante
1602520000137,Restaurante
1604513000174,Restaurante
1609436000145,Restaurante
1613034000114,Restaurante
1619986000145,Restaurante
1625205000125,Restaurante
1631311000111,Similar
1631311000464,Restaurante
1631311000545,Restaurante
1631311000626,Restaurante
1631311000707,Restaurante
1631311000898,Restaurante
1631311000979,Restaurante
1631457000167,Bar
1632854000153,Restaurante
1634140000184,Similar
1634225000162,Restaurante
1636239000115,Restaurante
1639162000137,Restaurante
1639337000106,Restaurante
1640719000150,Restaurante
1640723000118,Restaurante
1647191000140,Similar
1657685000106,Restaurante
1660693000101,Restaurante
1663782000101,Restaurante
1679099000243,Restaurante
1679943000155,Restaurante
1680347000195,Restaurante
1681886000149,Restaurante
1687633000182,Restaurante
1687633000344,Restaurante
1692076000198,Restaurante
1694310000116,Similar
1695252000145,Restaurante
1695404000100,Restaurante
1703837000160,Restaurante
1705224000161,Restaurante
1706341000220,Bar
1706951000143,Restaurante
1710041000134,Restaurante
1713345000155,Restaurante
1715469000170,Restaurante
1722217000178,Restaurante
1728967000157,Restaurante
1729739000100,Restaurante
1731973000163,Restaurante
1735029000184,Restaurante
1737835000191,Similar
1738195000134,Restaurante
1738672000161,Restaurante
1738727000133,Restaurante
1740041000187,Bar
1743714000152,Restaurante
1744129000177,Restaurante
1744129000339,Restaurante
1744129000410,Restaurante
1744129000681,Restaurante
1744129000762,Restaurante
1744129000843,Restaurante
1744129000924,Restaurante
1747578000179,Restaurante
1748790000150,Restaurante
1749429000149,Restaurante
1757829000104,Restaurante
1757829000449,Restaurante
1757829000520,Restaurante
1757829000600,Restaurante
1757829001259,Restaurante
1758016000120,Restaurante
1758016000201,Similar
1758016000392,Similar
1758016000554,Similar
1762660000172,Restaurante
1764484000108,Restaurante
1766899000110,Restaurante
1774589000148,Restaurante
1774872000170,Restaurante
1778978000141,Restaurante
1782068000132,Restaurante
1784462000100,Bar
1786467000171,Restaurante
1788904000196,Restaurante
1789345000139,Restaurante
1790544000167,Restaurante
1790878000130,Restaurante
1793112000100,Restaurante
1799351000177,Restaurante
1801974000137,Cafeteria
1802358000109,Restaurante
1803125000112,Cafeteria
1807375000120,Cafeteria
1811546000195,Restaurante
1813699000171,Similar
1815787000102,Restaurante
1817866000152,Restaurante
1817866000233,Restaurante
1817866000314,Restaurante
1818213000198,Restaurante
1832636000162,Restaurante
1832636000324,Restaurante
1832636000596,Restaurante
1832636000677,Restaurante
1833767000164,Restaurante
1836357000177,Restaurante
1836357000509,Restaurante
1836357000681,Restaurante
1836357000924,Restaurante
1836357001068,Restaurante
1836357001149,Restaurante
1836357001220,Restaurante
1836357001491,Restaurante
1836357001572,Restaurante
1836357001653,Restaurante
1836357001734,Restaurante
1836357001815,Restaurante
1836357001904,Restaurante
1849187000165,Restaurante
1852948000138,Restaurante
1853828000155,Restaurante
1854002000100,Cafeteria
1855630000100,Restaurante
1857198000197,Restaurante
1863639000163,Restaurante
1870006000182,Restaurante
1874302000151,Cafeteria
1880929000115,Similar
1882342000145,Restaurante
1887056000172,Restaurante
1890074000103,Restaurante
1891245000119,Restaurante
1897733000133,Similar
1897870000178,Restaurante
1915508000182,Bar
1920210000160,Similar
1925183000119,Restaurante
1925315000102,Restaurante
1926391000132,Restaurante
1933217000117,Restaurante
1937072000122,Similar
1937526000165,Restaurante
1938438000188,Restaurante
1943113000193,Restaurante
1943249000101,Restaurante
1944732000100,Restaurante
1956420000109,Restaurante
1958104000257,Similar
1961478000140,Restaurante
1961485000142,Restaurante
1964226000175,Restaurante
1964909000122,Bar
1980486000134,Restaurante
1986543000192,Restaurante
1993616000173,Restaurante
1999717000151,Restaurante
2001920000150,Restaurante
2003591000186,Restaurante
2003591000348,Restaurante
2003591000429,Restaurante
2005619000114,Restaurante
2010558000183,Restaurante
2019387000153,Restaurante
2020691000110,Restaurante
2020796000170,Restaurante
2022544000180,Restaurante
2025529000195,Restaurante
2028716000122,Restaurante
2029167000453,Restaurante
2029388000189,Restaurante
2030089000164,Restaurante
2038882000100,Similar
2041438000143,Restaurante
2043634000157,Restaurante
2052955000118,Restaurante
2053343000140,Restaurante
2059282000128,Restaurante
2060110000174,Restaurante
2065841000102,Similar
2066824000190,Restaurante
2071106000101,Restaurante
2077272000115,Restaurante
2077272000387,Restaurante
2077434000115,Restaurante
2082093000176,Restaurante
2083235000110,Restaurante
2090976000128,Cafeteria
2094228000113,Restaurante
2094823000159,Restaurante
2102125000158,Similar
2103784000109,Restaurante
2103864000164,Restaurante
2107393000162,Restaurante
2108167000104,Restaurante
2111074000120,Similar
2111899000145,Similar
2111899000226,Restaurante
2115868000162,Restaurante
2116307000188,Restaurante
2124340000150,Restaurante
2128847000181,Restaurante
2133024000144,Restaurante
2133024000225,Restaurante
2134781000132,Similar
2134841000117,Restaurante
2134841000540,Restaurante
2134947000110,Similar
2138054000143,Restaurante
2138641000132,Restaurante
2143616000147,Restaurante
2144584000102,Restaurante
2146450000112,Restaurante
2147118000172,Restaurante
2147393000196,Restaurante
2149366000152,Restaurante
2155609000165,Restaurante
2159441000166,Restaurante
2160484000161,Cafeteria
2168315000178,Restaurante
2168396000106,Restaurante
2168952000144,Restaurante
2170268000105,Similar
2171334000153,Restaurante
2171334000820,Restaurante
2171334000900,Restaurante
2176503000148,Restaurante
2178073000101,Restaurante
2178997000108,Restaurante
2182271000130,Restaurante
2185091000889,Restaurante
2186748000237,Restaurante
2187668000115,Restaurante
2194948000150,Bar
2200249000176,Similar
2200688000189,Restaurante
2203830000141,Restaurante
2203830000222,Restaurante
2203830000303,Restaurante
2204203000125,Restaurante
2207617000108,Restaurante
2209330000117,Restaurante
2210401000100,Restaurante
2217561000172,Restaurante
2219812000158,Restaurante
2220657000190,Similar
2221407000174,Restaurante
2222434000161,Similar
2223966003643,Restaurante
2223966004372,Restaurante
2223966004453,Restaurante
2223966006588,Restaurante
2223966008017,Restaurante
2223966009170,Restaurante
2223966010348,Restaurante
2223966013010,Restaurante
2224005000123,Similar
2229101000164,Restaurante
2229143000103,Restaurante
2238702000214,Restaurante
2240411000180,Restaurante
2242946000190,Restaurante
2244229000105,Bar
2247069000140,Similar
2247132000229,Restaurante
2249716000152,Restaurante
2249716000586,Restaurante
2266042000102,Restaurante
2281214000109,Restaurante
2282183000100,Restaurante
2286009000136,Restaurante
2292883000186,Restaurante
2294978000139,Restaurante
2295998000124,Restaurante
2301599000129,Restaurante
2307689000127,Restaurante
2308948000134,Restaurante
2309695000113,Restaurante
2311845000123,Restaurante
2315727000193,Restaurante
2318956000161,Restaurante
2318956000323,Restaurante
2318956000404,Restaurante
2318956000595,Restaurante
2318956000676,Bar
2318956000757,Restaurante
2318956000838,Restaurante
2318956000919,Restaurante
2318956001133,Restaurante
2318956001214,Restaurante
2318956001303,Restaurante
2318956001486,Restaurante
2319114000124,Restaurante
2320561000101,Cafeteria
