CNPJ,ESPECIALIDADE,ESTABELECIMENTO
4475000156,Brasileira,Restaurante
5370000111,Brasileira | Cozinha regional,Restaurante
5730000185,Italiana,Similar
5858000149,Italiana | Árabe,Restaurante
6453000125,Brasileira,Restaurante
12093000174,Brasileira,Restaurante
21776000198,Italiana | Árabe,Restaurante
52076000160,Americana,Restaurante
56231000117,Francesa,Restaurante
58152000307,Brasileira | Cozinha regional,Restaurante
58351000153,Cozinha regional,Restaurante
58733000187,Brasileira | Italiana,Restaurante
59652000100,Americana,Cafeteria
62044000146,Brasileira,Restaurante
65667000172,Árabe,Restaurante
66804000193,Brasileira,Restaurante
67976000181,Brasileira,Similar
71556000179,Brasileira,Restaurante
71556000250,Brasileira,Restaurante
71556000411,Brasileira,Restaurante
71556000500,Brasileira,Restaurante
71556000683,Brasileira,Restaurante
71556000764,Brasileira,Restaurante
76945000197,Alemã | Cozinha regional,Restaurante
79587000176,Brasileira | Cozinha regional,Similar
80447000118,Brasileira | Tailandesa,Restaurante
82535000159,Francesa,Restaurante
83798000182,Brasileira,Similar
83798000182,Brasileira,Restaurante
85675000180,Cozinha regional,Similar
87029000152,Brasileira,Cafeteria
87086000131,Brasileira | Cozinha regional,Restaurante
90638000160,Brasileira | Cozinha regional,Restaurante
90638000241,Brasileira | Cozinha regional,Restaurante
94066000198,Cozinha regional | Francesa | Italiana,Restaurante
98542000149,Brasileira,Similar
100453000190,Brasileira,Bar
102390000100,Brasileira,Restaurante
102526000182,Brasileira,Restaurante
109576000191,Brasileira,Similar
110791000102,Brasileira | Árabe,Restaurante
111876000105,Portuguesa,Restaurante
111949000169,Brasileira | Cozinha regional,Similar
112535000154,Brasileira,Restaurante
114339000119,Brasileira,Restaurante
116744000176,Brasileira | Francesa | Portuguesa,Restaurante
118884000183,Alemã | Brasileira | Cozinha regional,Restaurante
118884000183,Brasileira | Cozinha regional,Restaurante
120318000106,Brasileira,Restaurante
122191000164,Brasileira,Cafeteria
128313000120,Brasileira | Cozinha regional,Restaurante
131261000140,Brasileira | Cozinha regional,Bar
132720000100,Brasileira,Restaurante
135329000160,Cozinha regional,Similar
137388000177,Brasileira,Bar
143975000179,Brasileira | Cozinha regional,Similar
146484000181,Brasileira,Bar
146714000102,Alemã | Brasileira | Italiana,Restaurante
152802000117,Brasileira | Cozinha regional | Árabe,Restaurante
152802000117,Brasileira | Cozinha regional,Restaurante
153470000195,Cozinha regional | Italiana,Restaurante
154642000145,Italiana,Similar
154642000226,Americana,Similar
155259000101,Brasileira,Cafeteria
155300000140,Brasileira | Cozinha regional | Italiana,Restaurante
156902000111,Brasileira | Cozinha regional | Japonesa,Restaurante
157596000138,Cozinha regional,Restaurante
159815000118,Brasileira,Similar
163331000142,Brasileira,Restaurante
164985000190,Brasileira,Restaurante
164985000433,Brasileira,Restaurante
164985000514,Brasileira,Restaurante
168223000162,Cozinha regional | Italiana,Restaurante
176188000123,Brasileira | Cozinha regional,Bar
180009000121,Americana | Brasileira,Restaurante
181502000166,Brasileira,Restaurante
188041000153,Cozinha regional,Restaurante
188048000175,Brasileira | Cozinha regional,Restaurante
189463000143,Japonesa,Restaurante
190814000136,Cozinha regional,Restaurante
193851000521,Alemã | Cozinha regional,Bar
202998000107,Brasileira | Italiana,Restaurante
208014000103,Americana | Brasileira,Restaurante
212516000108,Brasileira,Restaurante
214880000107,Brasileira | Cozinha regional,Restaurante
215456000179,Brasileira | Italiana | Portuguesa,Restaurante
216364000103,Japonesa,Restaurante
216468000118,Chinesa,Similar
217246000110,Brasileira | Portuguesa,Restaurante
217246000110,Brasileira | Portuguesa,Similar
223104000165,Brasileira,Similar
223693000181,Brasileira,Restaurante
224362000166,Brasileira,Restaurante
229295000172,Argentina | Brasileira,Restaurante
234446000180,Americana,Bar
234519000134,Italiana | Árabe,Restaurante
234519000134,Brasileira,Restaurante
234668000101,Italiana,Restaurante
243756000161,Brasileira,Cafeteria
244073000129,Alemã,Cafeteria
245481000103,Brasileira,Restaurante
246103000136,Brasileira,Restaurante
246103000489,Brasileira,Restaurante
246103000560,Brasileira,Restaurante
248524000287,Brasileira,Similar
249880000134,Italiana,Restaurante
250909000106,Brasileira,Restaurante
250909000289,Brasileira,Restaurante
250909000360,Brasileira,Restaurante
253703000121,Brasileira | Cozinha regional,Restaurante
256719000198,Cozinha regional,Restaurante
256837000104,Brasileira,Cafeteria
257914000132,Brasileira | Italiana,Restaurante
259728000132,Cozinha regional,Restaurante
260975000159,Brasileira | Cozinha regional,Restaurante
261786000109,Brasileira,Restaurante
262256000177,Brasileira | Italiana,Similar
262256000177,Brasileira,Similar
263654000108,Cozinha regional,Restaurante
268040000119,Brasileira,Restaurante
268445000157,Árabe,Restaurante
272772000182,Brasileira,Bar
273867000110,Brasileira,Restaurante
277477000119,Italiana | Árabe,Restaurante
282468000116,Brasileira | Cozinha regional,Restaurante
285353000185,Brasileira,Restaurante
288218000193,Brasileira,Restaurante
288731000184,Brasileira,Restaurante
291410000139,Brasileira,Restaurante
293064000128,Cozinha regional,Bar
294862000174,Italiana | Árabe,Restaurante
300937000182,Brasileira | Cozinha regional,Restaurante
304182000194,Brasileira,Restaurante
305472000152,Brasileira,Similar
305569000165,Brasileira | Italiana,Restaurante
306310000139,Brasileira,Restaurante
317120000117,Brasileira,Restaurante
320017000398,Brasileira | Cozinha regional | Árabe,Restaurante
320017000479,Brasileira | Cozinha regional | Árabe,Restaurante
320017000630,Brasileira | Cozinha regional | Árabe,Restaurante
320017001106,Brasileira | Cozinha regional | Árabe,Restaurante
320017001289,Brasileira | Cozinha regional | Árabe,Restaurante
320017001360,Brasileira | Cozinha regional | Italiana,Restaurante
324409000163,Americana | Brasileira,Restaurante
324409000163,Americana | Brasileira,Similar
327727000188,Italiana | Mexicana | Portuguesa,Restaurante
331059000162,Brasileira,Restaurante
331128000138,Italiana | Árabe,Restaurante
334308000173,Cozinha regional,Restaurante
338638000137,Brasileira,Bar
338871000110,Asiática | Chinesa,Restaurante
339456000180,Brasileira | Tailandesa,Restaurante
347918000101,Brasileira,Restaurante
351195000114,Brasileira | Cozinha regional | Italiana,Restaurante
358417000120,Brasileira,Similar
359177000189,Brasileira | Cozinha regional,Restaurante
359277000105,Cozinha regional,Restaurante
361359000194,Brasileira,Restaurante
362901000123,Brasileira,Restaurante
365983000160,Cozinha regional,Bar
367548000174,Brasileira,Restaurante
367548000760,Brasileira,Restaurante
367548000840,Brasileira,Restaurante
370117000167,Brasileira | Cozinha regional,Restaurante
370486000150,Brasileira | Cozinha regional | Portuguesa,Similar
371296000157,Brasileira | Cozinha regional,Restaurante
374684000191,Cozinha regional | Italiana,Restaurante
374812000105,Brasileira,Similar
376037000119,Brasileira | Francesa | Italiana,Restaurante
385855000188,Cozinha regional,Restaurante
392392000181,Americana,Restaurante
392392000262,Americana,Similar
392392000424,Americana,Similar
392392000696,Americana,Restaurante
392392000777,Americana,Restaurante
392392000858,Americana,Similar
392392000939,Americana,Restaurante
392392001072,Americana,Restaurante
393093000323,Brasileira,Similar
404833000118,Brasileira | Cozinha regional,Restaurante
407861000199,Cozinha regional,Restaurante
418477000191,Brasileira,Restaurante
419148000165,Americana,Restaurante
423456000164,Brasileira,Similar
432026000109,Brasileira | Cozinha regional | Italiana,Bar
432210000159,Brasileira,Bar
433806000173,Brasileira,Similar
439276000170,Alemã | Brasileira,Restaurante
440007000124,Americana | Italiana,Cafeteria
443005000199,Brasileira | Italiana | Portuguesa,Similar
443306000112,Cozinha regional,Cafeteria
445438000183,Brasileira,Bar
448540000132,Brasileira | Italiana,Restaurante
448667000151,Brasileira | Cozinha regional | Japonesa,Restaurante
448667000151,Brasileira | Cozinha regional,Restaurante
450022000153,Brasileira,Restaurante
452590000193,Brasileira | Cozinha regional | Italiana,Restaurante
452590000193,Cozinha regional | Italiana,Restaurante
453469000186,Americana,Restaurante
453469000267,Americana,Similar
453469000348,Americana,Restaurante
453469000500,Americana,Restaurante
453469000690,Americana,Restaurante
453469001077,Americana,Restaurante
453469001158,Americana,Restaurante
453469001310,Americana,Similar
453469001409,Americana,Restaurante
453469001581,Americana,Restaurante
453469001662,Americana,Restaurante
453469001743,Americana,Restaurante
459268000196,Brasileira,Restaurante
461328000105,Brasileira | Japonesa,Restaurante
461507000142,Italiana | Árabe,Restaurante
462836000108,Brasileira,Restaurante
465544000129,Brasileira | Portuguesa,Restaurante
468262000185,Brasileira | Cozinha regional | Italiana,Restaurante
469466000130,Cozinha regional,Restaurante
